City ,Sum of Revenue,Product
 San Francisco,1931200,Macbook Pro Laptop
 Los Angeles,1276700,Macbook Pro Laptop
 San Francisco,1162700,iPhone
 New York City,1116900,Macbook Pro Laptop
 San Francisco,962990.37,ThinkPad Laptop
 San Francisco,814800,Google Phone
 Boston,814300,Macbook Pro Laptop
 Los Angeles,782600,iPhone
 Dallas,649400,Macbook Pro Laptop
 Atlanta,644300,Macbook Pro Laptop
 Los Angeles,640993.59,ThinkPad Laptop
 New York City,616700,iPhone
 Seattle,605200,Macbook Pro Laptop
 Portland,572900,Macbook Pro Laptop
 San Francisco,569385.3999999999,27in 4K Gaming Monitor
 New York City,559994.4,ThinkPad Laptop
 San Francisco,559950,Apple Airpods Headphones
 San Francisco,549465.5399999999,34in Ultrawide Monitor
 Boston,527100,iPhone
 Los Angeles,508800,Google Phone
 New York City,454800,Google Phone
 Boston,446995.52999999997,ThinkPad Laptop
 Austin,426700,Macbook Pro Laptop
 Los Angeles,391159.97000000003,27in 4K Gaming Monitor
 Seattle,382200,iPhone
 Atlanta,380800,iPhone
 Los Angeles,370950,Apple Airpods Headphones
 Dallas,363300,iPhone
 Los Angeles,362890.44999999995,34in Ultrawide Monitor
 Atlanta,356996.43,ThinkPad Laptop
 Boston,355800,Google Phone
 San Francisco,346200,Flatscreen TV
 Dallas,344996.55,ThinkPad Laptop
 Seattle,332996.67,ThinkPad Laptop
 San Francisco,331666.82999999996,Bose SoundSport Headphones
 New York City,329831.31999999995,34in Ultrawide Monitor
 New York City,328371.57999999996,27in 4K Gaming Monitor
 Portland,315000,iPhone
 New York City,314700,Apple Airpods Headphones
 Dallas,276600,Google Phone
 Portland,273997.26,ThinkPad Laptop
 San Francisco,272081.8599999998,27in FHD Monitor
 Atlanta,270600,Google Phone
 Austin,263900,iPhone
 Boston,263243.25,27in 4K Gaming Monitor
 Seattle,260400,Google Phone
 Boston,254973.29000000004,34in Ultrawide Monitor
 Boston,247950,Apple Airpods Headphones
 Los Angeles,218100,Flatscreen TV
 Portland,213000,Google Phone
 Los Angeles,212478.74999999997,Bose SoundSport Headphones
 Austin,209997.9,ThinkPad Laptop
 Seattle,209814.62000000002,27in 4K Gaming Monitor
 Seattle,202914.66,34in Ultrawide Monitor
 San Francisco,197600,Vareebadd Phone
 Dallas,194554.88,34in Ultrawide Monitor
 Atlanta,192265.07,27in 4K Gaming Monitor
 Atlanta,189900,Apple Airpods Headphones
 Seattle,188700,Apple Airpods Headphones
 New York City,188400,Flatscreen TV
 Dallas,187585.19000000003,27in 4K Gaming Monitor
 Los Angeles,183437.77000000008,27in FHD Monitor
 Atlanta,183155.18000000005,34in Ultrawide Monitor
 New York City,179382.06,Bose SoundSport Headphones
 Dallas,179100,Apple Airpods Headphones
 Portland,169255.66,27in 4K Gaming Monitor
 Boston,166200,Flatscreen TV
 Portland,164850,Apple Airpods Headphones
 Austin,164400,Google Phone
 New York City,160789.28000000003,27in FHD Monitor
 Portland,153135.97,34in Ultrawide Monitor
 Boston,141585.84,Bose SoundSport Headphones
